Column1,주유소명,시도명,시군구명,소재지도로명주소,소재지지번주소,행정동
127,해원주유소,대구광역시,달서구,대구광역시 달서구 구마로 79 (본리동),,본리동
128,고려제2주유소,대구광역시,달서구,대구광역시 달서구 와룡로 283 (죽전동),,죽전동
129,주식회사에이치씨대하에너지 죽전주유소,대구광역시,달서구,대구광역시 달서구 와룡로 150 (감삼동),,감삼동
130,극동주유소,대구광역시,달서구,대구광역시 달서구 야외음악당로 83 (성당동),,성당동
131,계명성서관리공단주유소,대구광역시,달서구,대구광역시 달서구 성서로35길 3 (월암동),,월암동
132,명종주유소,대구광역시,달서구,대구광역시 달서구 월곡로 134-1 (상인동),,상인동
133,대경주유소,대구광역시,달서구,대구광역시 달서구 앞산순환로 181 (송현동),,송현동
134,아리랑주유소,대구광역시,달서구,대구광역시 달서구 달서대로 696 (신당동),,신당동
135,월성주유소,대구광역시,달서구,대구광역시 달서구 송현로 176 (송현동),,송현동
136,태송주유소,대구광역시,달서구,대구광역시 달서구 앞산순환로 237 (송현동),,송현동
137,성서주유소,대구광역시,달서구,대구광역시 달서구 달구벌대로 1270 (이곡동),,이곡동
138,하나로Ⅱ주유소,대구광역시,달서구,대구광역시 달서구 비슬로 2682 (대곡동),,대곡동
139,덕영에너지 송현주유소,대구광역시,달서구,대구광역시 달서구 구마로 219 (성당동),,성당동
140,SK에너지(주)상인주유소,대구광역시,달서구,대구광역시 달서구 월배로 200 (상인동),,상인동
141,흥구석유(주)본리동주유소,대구광역시,달서구,대구광역시 달서구 구마로 110 (본동),,본동
142,대성산업(주)대성유니드주유소,대구광역시,달서구,대구광역시 달서구 와룡로 248 (죽전동),,죽전동
143,동승주유소,대구광역시,달서구,대구광역시 달서구 구마로 35 (본리동),,본리동
144,대성산업(주)구마고속주유소,대구광역시,달서구,대구광역시 달서구 구마로 67 (본리동),,본리동
145,주식회사 진천주유소,대구광역시,달서구,대구광역시 달서구 월배로 94 (진천동),,진천동
146,상인현대Self주유소,대구광역시,달서구,대구광역시 달서구 월배로 255 (상인동),,상인동
147,동마 제1주유소,대구광역시,달서구,대구광역시 달서구 달구벌대로 1196 (신당동),,신당동
