위도,경도
35.83325777,128.5384169
35.8331311,128.5156643
35.83633995,128.5203243
35.84002733,128.4914984
35.83925358,128.516088
35.81082884,128.5168266
35.8078796,128.5466541
35.85496707,128.5106496
35.85834899,128.5329377
35.83522059,128.4911238
35.8129639,128.5451999
35.85106467,128.4928402
35.85107762,128.4935293
35.85015499,128.5177274
35.8162198,128.5225076
35.8369339,128.5323945
35.818491,128.5223502
35.8465613,128.5449954
35.8394135,128.5374846
35.82779769,128.549448
35.80985843,128.5464694
35.83416579,128.511378
35.83648901,128.5234896
35.83774134,128.5362781
35.85817873,128.5368408
35.8460259,128.537554
35.8446948,128.5519721
35.83227232,128.5065356
35.8091134,128.5481188
35.8206986,128.5512371
35.86169433,128.492625
35.83299686,128.5448737
35.8249025,128.5543691
35.85146525,128.5059431
35.80767161,128.5090828
35.83746459,128.5516725
35.8179499,128.535469
35.8370136,128.5395702
35.85496571,128.5376756
35.8375187,128.5314168
35.8377646,128.5350232
35.81403905,128.5249696
35.8201766,128.5410452
35.85139203,128.4983283
