위도,경도
35.89226,128.6434
35.89011,128.6486
35.90052,128.6292
35.8838,128.6607
35.87037,128.7269
35.88376,128.6547
35.89161,128.6222
35.87835,128.726
35.87604,128.6574
35.95348,128.6921
35.87902,128.6348
35.95348,128.6921
35.87714,128.6687
35.87105,128.6912
35.88375,128.6441
35.95348,128.6921
35.9671,128.6988
35.8838,128.6607
35.87105,128.6912
35.87604,128.6574
35.87105,128.6912
35.97516,128.6299
35.95348,128.6921
35.8838,128.6607
35.9671,128.6988
35.87105,128.6912
35.97516,128.6299
35.86838,128.6284
35.87165,128.7291
35.8838,128.6607
35.90052,128.6292
35.87105,128.6912
35.87733,128.6075
35.87105,128.6912
35.87105,128.6912
35.87165,128.7291
35.87604,128.6574
35.89011,128.6486
35.87604,128.6324
35.94498,128.6455
35.93589,128.6341
35.8841,128.6587
35.87501,128.7521
35.97516,128.6299
35.8841,128.6587
35.89668,128.6401
35.89668,128.6401
35.88614,128.6413
35.87656,128.6262
35.94776708,128.5467481
35.89626043,128.5215703
35.94160002,128.6137371
35.88617783,128.5999446
35.89537134,128.525634
35.90872826,128.5486198
35.89475277,128.5339748
35.89155533,128.566052
35.88625551,128.5302648
35.88347158,128.60261
35.91038179,128.5418827
35.92243575,128.5396443
35.89878586,128.5476958
35.94307196,128.5420186
35.95123184,128.5698335
35.90629598,128.5477045
35.94736206,128.5727332
35.89088031,128.6057058
35.91420072,128.5995646
35.91087239,128.5420644
35.93062827,128.5995489
35.95275525,128.5535451
35.92897422,128.5984069
35.9320605,128.5662966
35.94153355,128.5576196
35.94062585,128.5703141
35.95823497,128.5662164
35.89889595,128.6155654
35.91020834,128.6075446
35.90232929,128.5966089
35.90228876,128.6063555
35.90217468,128.5958948
35.89522233,128.5942852
35.90579236,128.6180468
35.95050341,128.5699674
35.89439672,128.6184252
35.92206099,128.5460639
35.90187209,128.5946057
35.94940321,128.5520049
35.92155237,128.5471357
35.89076592,128.5635349
35.95080283,128.553372
35.91104729,128.5487571
35.88930267,128.5806995
35.89962177,128.5809563
35.90001317,128.5836891
35.89467325,128.6051017
35.88884496,128.6034357
35.89952137,128.6231197
35.89564016,128.5718829
35.89855303,128.57838
35.90231243,128.5979774
35.90260728,128.6006632
35.89184004,128.6245032
35.90126928,128.5877135
35.91136969,128.5489204
35.93855953,128.5499486
35.89123505,128.5549719
35.88461589,128.5975688
35.89086806,128.5580902
35.92382771,128.5465516
35.88311403,128.6080686
35.88203763,128.5900799
35.88824677,128.5732084
35.88657752,128.5976346
35.83269576,128.6129811
35.86589853,128.642746
35.84240684,128.62069
35.86685043,128.6355593
35.84745834,128.6102266
35.81924691,128.6145886
35.86675176,128.6353103
35.86447103,128.6358305
35.84950151,128.6506098
35.81688095,128.6391434
35.8507735,128.6544531
35.83671666,128.6243587
35.85557489,128.6511927
35.82997073,128.6154072
35.87411776,128.6416617
35.81731228,128.6134003
35.86819975,128.6314222
35.83889281,128.6268466
35.84524755,128.6755467
35.82629194,128.6442098
35.84335116,128.6919968
35.86695742,128.6360548
35.86505043,128.6491284
35.83256962,128.6070726
35.83913892,128.6256145
