구,시설명,주소,위도,경도,시설종류
서구지회,두견화,대구광역시 서구 국채보상로36길 42  ,35.86568499,128.5506541,경로당
서구지회,중리,대구광역시 서구 와룡로70길 66  ,35.86353068,128.544831,경로당
서구지회,진달래,대구광역시 서구 국채보상로38길 22  ,35.86770377,128.552179,경로당
서구지회,중리시영(아),대구광역시 서구 당산로 324  ,35.86423618,128.547289,경로당
서구지회,중리일송,대구광역시 서구 당산로53길 110-4  ,35.85819256,128.5408571,경로당
서구지회,중리상록,대구광역시 서구 국채보상로36길 16-2  ,35.86804015,128.5508124,경로당
서구지회,중리롯데캐슬,대구광역시 서구 국채보상로34길 12  ,35.86617466,128.5489561,경로당
서구지회,"원대1,2가제1",대구광역시 서구 달서천로 405-3  ,35.88176726,128.578167,경로당
서구지회,"원대1,2가제2",대구광역시 서구 달서천로86길 6-10  ,35.88025007,128.5786581,경로당
서구지회,원대3가제1,대구광역시 서구 고성로21길6  ,35.88305942,128.577406,경로당
서구지회,원대3가제2,대구광역시 서구 옥산로2길 7-13  ,35.88608622,128.5765155,경로당
서구지회,금류타운,대구광역시 서구 원대로13길 2  ,35.88296849,128.5805811,경로당
서구지회,센트럴자이,대구광역시 서구 고성로 33  ,35.88683794,128.5742172,경로당
수성구지회,범어1동 제1경로당,대구광역시 수성구 동대구로54길 7 ,35.85383749,128.6275097,경로당
수성구지회,범어1동 제2경로당,대구광역시 수성구 청솔로16길 35 ,35.85181836,128.6228726,경로당
수성구지회,궁전맨션경로당,대구광역시 수성구 동대구로 274 ,35.853875,128.6261873,경로당
수성구지회,아진맨션경로당,대구광역시 수성구 동대구로 38길 80 ,35.84980736,128.6277982,경로당
수성구지회,태왕유성하이빌경로당,대구광역시 수성구 동대구로 250 ,35.85272513,128.6258091,경로당
수성구지회,범어유림노르웨이숲경로당,대구광역시 수성구 동대구로50길 37 ,35.85309393,128.6272478,경로당
수성구지회,범어1동 청구푸른마을경로당,대구광역시 수성구 동대구로 240 ,35.85168075,128.6276025,경로당
수성구지회,범어쌍용예가아파트경로당,대구광역시 수성구 명덕로 477 ,35.85420972,128.6217247,경로당
수성구지회,범어롯데캐슬경로당,대구광역시 수성구 동대구로 300 ,35.85676757,128.6272964,경로당
수성구지회,범어2동 제1경로당,대구광역시 수성구 동원로11길 14 ,35.86373665,128.6388792,경로당
수성구지회,범어2동 제2경로당,대구광역시 수성구 동대구로80길 73-3 ,35.86621329,128.6311207,경로당
수성구지회,범어2동 두산위브더제니스경로당,대구광역시 수성구 달구벌대로 2435 ,35.86047922,128.6294072,경로당
수성구지회,범어3동 제1경로당,대구광역시 수성구 들안로78길 46 ,35.86539616,128.6203968,경로당
수성구지회,청구성조타운경로당,대구광역시 수성구 국채보상로 846 ,35.86702409,128.6227113,경로당
수성구지회,범어화성파크드림경로당,대구광역시 수성구 범어천로 180 ,35.86305379,128.6219534,경로당
수성구지회,범어태왕아너스경로당,대구광역시 수성구 상록로 41 ,35.86291198,128.6233762,경로당
수성구지회,래미안수성경로당,대구광역시 수성구 상록로 69 ,35.86574719,128.6230319,경로당
수성구지회,범어월드메르디앙 웨스턴카운티경로당,대구광역시 수성구 범어천로 200 ,35.86412366,128.6198201,경로당
수성구지회,범어역우방유쉘경로당,대구광역시 수성구 동대구로 345 ,35.86203461,128.6256593,경로당
수성구지회,범어4동제1경로당,대구광역시 수성구 청호로85길 46 ,35.85684933,128.6392327,경로당
수성구지회,유신경로당,대구광역시 수성구 청호로88안길 29-3 ,35.85620135,128.6421642,경로당
수성구지회,범어4동제2경로당,대구광역시 수성구 범어로20길 24-1 ,35.85768791,128.6371342,경로당
수성구지회,장원맨션경로당,대구광역시 수성구 청호로 370 ,35.85155038,128.6394452,경로당
수성구지회,범어가든3차경로당,대구광역시 수성구 청호로 365 ,35.85005165,128.6373945,경로당
수성구지회,서한두레맨션경로당,대구광역시 수성구 달구벌대로496길72 ,35.85194473,128.6346964,경로당
수성구지회,범어청구하이츠경로당,대구광역시 수성구 청호로84안길2 ,35.85391299,128.6407949,경로당
수성구지회,범어에스케이뷰경로당,대구광역시 수성구 범어로 73 ,35.8556492,128.6344287,경로당
수성구지회,우방청솔경로당,대구광역시 수성구 청호로 422 ,35.8541136,128.6402835,경로당
수성구지회,만촌1동 제1경로당,대구광역시 수성구 만촌로24길 37-20 ,35.87154027,128.6421826,경로당
수성구지회,느지경로당,대구광역시 수성구 화랑로40길 46 ,35.87650098,128.6485763,경로당
수성구지회,샘골경로당,대구광역시 수성구 공경로2길 21 ,35.86951412,128.6463056,경로당
수성구지회,럭키골든맨션경로당,대구광역시 수성구 효행로 24 ,35.87580014,128.6502361,경로당
수성구지회,만촌보성타운경로당,대구광역시 수성구 공경로 70 ,35.87443411,128.6428255,경로당
수성구지회,메트로팔레스5단지경로당,대구광역시 수성구 동원로 100 ,35.86840848,128.6386986,경로당
수성구지회,메트로팔레스2단지경로당,대구광역시 수성구 동원로 123 ,35.86871718,128.6347302,경로당
수성구지회,메트로팔레스1단지경로당,대구광역시 수성구 동원로 135 ,35.87076371,128.6346705,경로당
수성구지회,메트로팔레스3단지경로당,대구광역시 수성구 동원로 110 ,35.86895374,128.6381382,경로당
수성구지회,만촌화성파크스위트경로당,대구광역시 수성구 화랑로34길 141 ,35.87447428,128.6533317,경로당
수성구지회,만촌우방하이츠경로당,대구광역시 수성구 화랑로 26 ,35.86876782,128.6320166,경로당
수성구지회,지장경로당,대구광역시 수성구 무열로 65-1 ,35.86443387,128.648875,경로당
수성구지회,만촌경로당,대구광역시 수성구 동원로6길 50-13 ,35.86219368,128.6430237,경로당
수성구지회,태왕리더스경로당,대구광역시 수성구 무열로 47 ,35.86223945,128.6478737,경로당
수성구지회,만촌3동 제1경로당,대구광역시 수성구 달구벌대로526안길6 ,35.85641453,128.6490058,경로당
수성구지회,각계경로당,대구광역시 수성구 달구벌대로530길146 ,35.84959614,128.6510454,경로당
수성구지회,두리봉경로당,대구광역시 수성구 달구벌대로530길92 ,35.85209169,128.6512341,경로당
수성구지회,두봉골경로당,대구광역시 수성구 만촌동 1086-2,35.86904059,128.6480026,경로당
수성구지회,산장맨션경로당,대구광역시 수성구 교학로 111 ,35.84697518,128.6497631,경로당
수성구지회,만촌2차우방타운경로당,대구광역시 수성구 교학로11길 91 ,35.85060998,128.6580557,경로당
수성구지회,만촌우방타운경로당,대구광역시 수성구 교학로11길 46 ,35.85027838,128.6538172,경로당
수성구지회,수성2차 e편한세상경로당,대구광역시 수성구 달구벌대로522길 33 ,35.85639014,128.6474345,경로당
수성구지회,우방팔레스경로당,대구광역시 수성구 청수로 551 ,35.85227459,128.6588908,경로당
수성구지회,만촌3차화성파크드림경로당,대구광역시 수성구 교학로 13 ,35.85384968,128.6529446,경로당
수성구지회,수성1가 제1경로당,대구광역시 수성구 수성로53길 50-4 ,35.85049424,128.61041,경로당
수성구지회,수성1가 제2경로당,대구광역시 수성구 달구벌대로456길 11 ,35.85938503,128.6113652,경로당
수성구지회,신세계타운만수당경로당,대구광역시 수성구 신천동로 320 ,35.85391747,128.6095743,경로당
수성구지회,오성타운경로당,대구광역시 수성구 신천동로 380 ,35.85882418,128.608731,경로당
수성구지회,태왕하이츠리버뷰경로당,대구광역시 수성구 달구벌대로454길 9 ,35.8596427,128.6097003,경로당
수성구지회,수성그린타운경로당,대구광역시 수성구 달구벌대로458길 17 ,35.859333,128.6135928,경로당
수성구지회,한가람타운경로당,대구광역시 수성구 명덕로 368 ,35.85436011,128.6096906,경로당
수성구지회,삼우1차수성타운경로당,대구광역시 수성구 달구벌대로456길 19 ,35.8591499,128.6118642,경로당
수성구지회,수성대백인터빌경로당,대구광역시 수성구 수성로69길 14 ,35.85599841,128.6131978,경로당
수성구지회,영남타워경로당,대구광역시 수성구 달구벌대로456길 43 ,35.85754257,128.6118077,경로당
수성구지회,수성서한이다음경로당,대구광역시 수성구 수성로69길 15 ,35.8552992,128.6123404,경로당
수성구지회,수성동양엘레브경로당,대구광역시 수성구 명덕로73길 40 ,35.8564392,128.6114822,경로당
수성구지회,유성푸르나임경로당,대구광역시 수성구 수성로75길 16 ,35.85792048,128.6129482,경로당
수성구지회,수성롯데캐슬더퍼스트1단지경로당,대구광역시 수성구 수성로69길 70 ,35.85828496,128.6104863,경로당
수성구지회,수성롯데캐슬더퍼스트2단지경로당,대구광역시 수성구 수성로69길 65 ,35.85604568,128.6095178,경로당
수성구지회,수성롯데캐슬더퍼스트3단지경로당,대구광역시 수성구 수성로69길 41 ,35.85535849,128.6109113,경로당
수성구지회,한마음경로당,대구광역시 수성구 들안로52길 35-1 ,35.85266673,128.6190311,경로당
수성구지회,참마음경로당,대구광역시 수성구 수성로60길 45-1 ,35.85235786,128.6160312,경로당
수성구지회,열린경로당,대구광역시 수성구 명덕로 405-4 ,35.85478062,128.6145174,경로당
수성구지회,수성3가롯데캐슬경로당,대구광역시 수성구 명덕로 455 ,35.85439045,128.6190948,경로당
수성구지회,수성코오롱하늘채경로당,대구광역시 수성구 들안로 300 ,35.8567269,128.6186155,경로당
수성구지회,롬바드아파트경로당,대구광역시 수성구 들안로 325 ,35.85894917,128.6167186,경로당
수성구지회,수성4가경로당,대구광역시 수성구 범어천로 151 ,35.86024901,128.6221512,경로당
수성구지회,미수경로당,대구광역시 수성구 들안로81길 29 ,35.86603758,128.6166248,경로당
수성구지회,신천경로당,대구광역시 수성구 신천동로88길 1-15 ,35.86294787,128.6130413,경로당
수성구지회,수성보성타운경로당,대구광역시 수성구 수성로 412 ,35.86347242,128.6150627,경로당
수성구지회,수성화성쌍용타운경로당,대구광역시 수성구 수성로 411 ,35.8618081,128.6130997,경로당
수성구지회,대림e-편한세상경로당,대구광역시 수성구 들안로73길 50-7 ,35.86411917,128.6137167,경로당
수성구지회,우방사랑마을아파트경로당,대구광역시 수성구 달구벌대로 2317 ,35.86053479,128.6164916,경로당
수성구지회,수성우방팔레스경로당,대구광역시 수성구 수성로 400 ,35.86107706,128.6146819,경로당
수성구지회,범어삼환나우빌경로당,대구광역시 수성구 범어천로 197 ,35.86267029,128.620535,경로당
수성구지회,수성데시앙경로당,대구광역시 수성구 들안로 360 ,35.86282387,128.619573,경로당
수성구지회,수성롯데캐슬경로당,대구광역시 수성구 달구벌대로 2315 ,35.86011308,128.6155964,경로당
수성구지회,신천지타운경로당,대구광역시 수성구 청호로46길 16 ,35.8381771,128.6407856,경로당
수성구지회,황금종합복지관경로당,대구광역시 수성구 청수로45길 41 ,35.84290059,128.631169,경로당
수성구지회,캐슬골드파크3단지경로당,대구광역시 수성구 청수로 257 ,35.84133833,128.6347712,경로당
수성구지회,캐슬골드파크4단지경로당,대구광역시 수성구 청수로 261 ,35.84183557,128.6365334,경로당
수성구지회,캐슬골드파크5단지경로당,대구광역시 수성구 청수로 214 ,35.83971745,128.6337221,경로당
수성구지회,캐슬골드파크1단지경로당,대구광역시 수성구 청수로 213 ,35.83951263,128.6295145,경로당
수성구지회,황금태왕아너스경로당,대구광역시 수성구 청호로345 ,35.84791524,128.6381601,경로당
수성구지회,황금힐스테이트경로당,대구광역시 수성구 청수로274 ,35.83976809,128.6375507,경로당
수성구지회,수성2차우방타운경로당,대구광역시 수성구 청호로 330 ,35.84553757,128.640154,경로당
수성구지회,신천지하이츠경로당,대구광역시 수성구 청호로229 ,35.8377569,128.6402293,경로당
수성구지회,황금2동 제1경로당,대구광역시 수성구 희망로36길 32 ,35.84577016,128.6193598,경로당
수성구지회,황금2동 제2경로당,대구광역시 수성구 들안로40안길 7-20 ,35.84756097,128.618883,경로당
수성구지회,황금미진아파트경로당,대구광역시 수성구 청솔로12길 40 ,35.85005789,128.6227557,경로당
수성구지회,힐스테이트황금엘포레경로당,대구광역시 수성구 청솔로 16 ,35.84827312,128.6207443,경로당
수성구지회,중동제1경로당,대구광역시 수성구 수성로39안길 5 ,35.8436319,128.6113806,경로당
수성구지회,중부리경로당,대구광역시 수성구 수성로52안길 7-10 ,35.84989112,128.6151776,경로당
수성구지회,상록수경로당,대구광역시 수성구 들안로29길 26-18 ,35.84439561,128.6153437,경로당
수성구지회,광명아파트경로당,대구광역시 수성구 수성로 165 ,35.84046701,128.611957,경로당
수성구지회,서울중동경로당,대구광역시 수성구 신천동로 216 ,35.84462619,128.6083372,경로당
수성구지회,수성효성해링턴플레이스경로당,대구광역시 수성구 희망로24길 24 ,35.84569581,128.6097566,경로당
수성구지회,상동공원경로당,대구광역시 수성구 들안로13길 118 ,35.8392818,128.6151482,경로당
수성구지회,상동제2경로당,대구광역시 수성구 수성로15길 42-6 ,35.83302951,128.6088133,경로당
수성구지회,한들경로당,대구광역시 수성구 수성로32길 99 ,35.83673594,128.6134575,경로당
수성구지회,덕화경로당,대구광역시 수성구 들안로9길 56 ,35.83212688,128.6154611,경로당
