관리번호,위치명,위치구분,도로명주소,지번주소,시설종류,시설명,시설상태,공원시설물수리필요,위치설명,위도,경도,행정동,시군구,공원관리번호,공원명,관리기관명,관리기관전화번호
27110-00005-01-04-0030,2.28기념 중앙공원,근린공원,대구광역시 중구 동성로2길 80(공평동),대구광역시 중구 공평동 15,휴양시설,정자/산장/대피소,양호,N,1,35.87030348,128.5979833,성내1동,중구,27110-00005,2.28기념 중앙공원,대구공공시설관리공단,053-254-9405
27110-00006-01-03-0001,건들바위역사공원,역사공원,,대구광역시 중구 대봉동 733-17,조경시설,분수대,양호,N,12,35.85707085,128.5982682,대봉2동,중구,27110-00006,건들바위역사공원,대구광역시 중구청,053-803-4346
27110-00002-01-02-0003,경상감영공원,근린공원,대구광역시 중구 경상감영길 99,대구광역시 중구 포정동 21,편익시설,음수대,양호,N,11,35.87261545,128.5917881,성내2동,중구,27110-00002,경상감영공원,대구공공시설관리공단,053-254-9404
27110-00004-01-03-0002,국채보상운동기념공원,근린공원,대구광역시 중구 국채보상로 670,대구광역시 중구 동인동2가 42,조경시설,파고라,양호,N,8,35.86817932,128.6005707,동인동,중구,27110-00004,국채보상운동기념공원,대구공공시설관리공단,053-254-9401
27110-00001-01-02-0002,달성공원,근린공원,대구광역시 중구 달성공원로 35,대구광역시 중구 달성동 294-1,편익시설,음수대,양호,N,3,35.87358093,128.5791779,성내3동,중구,27110-00001,달성공원,대구광역시 달성공원관리사무소,053-803-5452
27110-00007-01-06-0003,수창공원,근린공원,,대구광역시 중구 수창동 174,유희시설,흔드는놀이기구,양호,N,1,35.8765564,128.5852814,성내3동,중구,27110-00007,수창공원,대구광역시 중구청,053-803-4346
27110-00008-01-06-0001,제2수창공원,근린공원,대구광역시 중구 달성로26길 32,대구광역시 중구 수창동 64,유희시설,조합놀이대,양호,N,10,35.87575531,128.5832977,성내3동,중구,27110-00008,제2수창공원,대구광역시 중구청,053-803-4346
