학교명,소재지지번주소,위도,경도
대구중앙초등학교,대구광역시 수성구 만촌동 1425,35.87001242,128.640349
대구범일초등학교,대구광역시 수성구 범물동 1364,35.81631646,128.6388284
대구복명초등학교,대구광역시 수성구 범물동 1293,35.8176268,128.6472131
신명여자중학교,대구광역시 수성구 수성동1가 96-16,35.85731247,128.6091788
대구동문초등학교,대구광역시 수성구 만촌동 262,35.874818,128.6524258
대구동도초등학교,대구광역시 수성구 범어동 784-2,35.85709448,128.6240176
덕화중학교,대구광역시 수성구 상동 328-1,35.83275858,128.6150457
경상여자중학교,대구광역시 서구 비산동 228,35.8706847,128.5738084
동원중학교,대구광역시 수성구 만촌동 254,35.87585642,128.6510708
대구남산고등학교,대구광역시 수성구 수성동1가 96-16,35.85731247,128.6091788
능인중학교,대구광역시 수성구 지산동 800,35.83210847,128.632547
대구파동초등학교,대구광역시 수성구 파동 8,35.82401679,128.6074144
능인고등학교,대구광역시 수성구 지산동 800,35.83210847,128.632558
덕원고등학교,대구광역시 수성구 욱수동 81,35.82572222,128.705953
서남중학교,대구광역시 서구 중리동 713,35.85695496,128.5425852
중리중학교,대구광역시 서구 중리동 105-1,35.86471469,128.5514912
대구제일고등학교,대구광역시 서구 비산동 228,35.8706847,128.5738084
대구용지초등학교,대구광역시 수성구 지산동 1272,35.82203127,128.6327623
대구황금초등학교,대구광역시 수성구 황금동 820,35.84422126,128.6183787
대구농업마이스터고등학교,대구광역시 수성구 노변동 98,35.8357803,128.7007091
