lpg_nm,거리(m)
(주)동일가스,131.65561057884685
(주)삼원에너지,52.364994140941405
SK엔크린 KK 유성셀프주유소,53.936949322399336
SK엔크린 KK직영 중앙주유소,137.50741826116015
SK엔크린 조양주유소,16.42279223934584
SK엔크린 행운셀프주유소,250.74686424964256
대공원충전소(주),118.38532956798412
대구개인택시운송사업조합제1충전소,96.41007100236925
대기에너지(주),122.16102313305551
동대구가스충전소,107.32934606549478
상동엘피지충전소,374.78087004239666
서대구IC충전소,628.4940686928254
신대한LPG,117.98361533489036
청구엘피지충전소,326.5831829352585
화성가스(주),431.4153910757541
