,EMD_CD,EMD_KOR_NM,주유소,과학·기술,교육,보건의료,부동산,소매,수리·개인,숙박,시설관리·임대,예술·스포츠,음식,상업수
54,27110154,대신동,0,16.0,13.0,7.0,18.0,2176.0,77.0,7.0,8.0,4.0,208.0,2534.0
55,27110155,달성동,0,3.0,2.0,1.0,16.0,21.0,7.0,3.0,3.0,0.0,16.0,72.0
56,27110156,남산동,1,401.0,124.0,36.0,82.0,356.0,219.0,5.0,65.0,37.0,388.0,1713.0
57,27110157,대봉동,2,197.0,43.0,12.0,36.0,397.0,160.0,3.0,78.0,31.0,328.0,1285.0
58,27140101,신암동,2,108.0,59.0,17.0,120.0,468.0,260.0,44.0,71.0,72.0,690.0,1909.0
59,27140102,신천동,2,427.0,96.0,20.0,98.0,770.0,260.0,57.0,96.0,70.0,788.0,2682.0
60,27140103,효목동,4,139.0,28.0,10.0,32.0,302.0,164.0,25.0,50.0,64.0,493.0,1307.0
61,27140104,평광동,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
62,27140105,봉무동,3,35.0,61.0,4.0,25.0,263.0,62.0,1.0,10.0,39.0,217.0,717.0
63,27140106,불로동,2,27.0,12.0,2.0,10.0,144.0,66.0,0.0,13.0,16.0,157.0,447.0
64,27140107,도동,0,6.0,2.0,0.0,0.0,26.0,8.0,0.0,3.0,2.0,24.0,71.0
65,27140108,지저동,4,11.0,6.0,3.0,7.0,110.0,62.0,4.0,16.0,20.0,119.0,358.0
66,27140109,입석동,0,21.0,2.0,1.0,7.0,58.0,46.0,6.0,5.0,13.0,121.0,280.0
67,27140110,검사동,3,27.0,5.0,1.0,9.0,75.0,61.0,5.0,14.0,17.0,78.0,292.0
68,27140111,방촌동,4,54.0,32.0,10.0,18.0,230.0,167.0,2.0,28.0,54.0,321.0,916.0
69,27140112,둔산동,0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,2.0,8.0,20.0
70,27140113,부동,0,0.0,1.0,0.0,1.0,10.0,4.0,0.0,0.0,0.0,3.0,19.0
71,27140114,신평동,0,0.0,0.0,0.0,0.0,14.0,11.0,0.0,6.0,0.0,9.0,40.0
72,27140115,서호동,1,10.0,11.0,2.0,8.0,34.0,29.0,0.0,13.0,8.0,46.0,161.0
73,27140116,동호동,1,35.0,16.0,2.0,23.0,76.0,99.0,2.0,20.0,23.0,147.0,443.0
74,27230119,동호동,0,1.0,1.0,1.0,0.0,5.0,2.0,0.0,1.0,0.0,5.0,16.0
75,27140117,신기동,0,18.0,5.0,5.0,12.0,118.0,53.0,3.0,11.0,15.0,154.0,394.0
76,27140118,율하동,1,62.0,70.0,17.0,41.0,328.0,210.0,1.0,29.0,55.0,418.0,1231.0
77,27140119,용계동,7,9.0,3.0,0.0,7.0,91.0,51.0,3.0,17.0,9.0,49.0,239.0
78,27140120,율암동,1,3.0,0.0,2.0,0.0,18.0,7.0,0.0,2.0,0.0,8.0,40.0
79,27140121,상매동,0,8.0,0.0,0.0,2.0,5.0,0.0,8.0,0.0,1.0,16.0,40.0
80,27140122,매여동,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
81,27140123,각산동,1,69.0,50.0,7.0,33.0,105.0,113.0,1.0,21.0,34.0,203.0,636.0
82,27140124,신서동,2,55.0,81.0,10.0,37.0,194.0,128.0,1.0,22.0,48.0,312.0,888.0
83,27140125,동내동,0,4.0,2.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,6.0,20.0
84,27140126,괴전동,3,12.0,8.0,0.0,11.0,22.0,23.0,0.0,3.0,1.0,19.0,99.0
85,27140127,금강동,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,8.0
86,27140128,대림동,1,16.0,11.0,0.0,4.0,26.0,9.0,0.0,10.0,8.0,27.0,111.0
87,27140129,사복동,0,6.0,13.0,0.0,4.0,13.0,14.0,0.0,4.0,2.0,17.0,73.0
88,27140130,숙천동,0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,10.0
89,27140131,내곡동,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
90,27140132,능성동,0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,11.0,18.0
91,27140133,진인동,0,3.0,1.0,0.0,0.0,7.0,1.0,1.0,0.0,1.0,20.0,34.0
92,27140134,도학동,0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,15.0
93,27140135,백안동,0,0.0,0.0,0.0,4.0,11.0,2.0,1.0,0.0,0.0,33.0,51.0
94,27140136,미곡동,0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,1.0,1.0,2.0,12.0
95,27140137,용수동,1,3.0,0.0,0.0,0.0,9.0,3.0,8.0,2.0,2.0,43.0,70.0
96,27140138,신무동,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0
97,27140139,미대동,0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0,1.0,11.0
98,27140140,내동,0,,,,,,,,,,,
99,27140141,신용동,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0
100,27140142,중대동,1,5.0,2.0,0.0,2.0,11.0,1.0,9.0,3.0,1.0,64.0,98.0
101,27140143,송정동,0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,41.0,44.0
102,27140144,덕곡동,1,1.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,26.0,34.0
103,27140145,지묘동,4,12.0,14.0,5.0,18.0,72.0,40.0,7.0,1.0,13.0,100.0,282.0
104,27170101,내당동,3,95.0,47.0,16.0,71.0,444.0,256.0,17.0,50.0,61.0,531.0,1588.0
105,27170102,비산동,5,111.0,25.0,13.0,68.0,663.0,366.0,44.0,61.0,92.0,884.0,2327.0
106,27170103,평리동,14,129.0,64.0,31.0,97.0,557.0,358.0,40.0,88.0,105.0,830.0,2299.0
107,27170104,상리동,1,6.0,0.0,0.0,0.0,20.0,19.0,0.0,7.0,0.0,9.0,61.0
108,27170105,중리동,4,82.0,21.0,5.0,26.0,231.0,94.0,3.0,54.0,28.0,181.0,725.0
109,27170106,이현동,8,31.0,4.0,0.0,10.0,88.0,94.0,0.0,31.0,6.0,56.0,320.0
110,27170107,원대동1가,1,11.0,2.0,0.0,8.0,45.0,22.0,0.0,1.0,2.0,42.0,133.0
111,27170108,원대동2가,0,11.0,2.0,0.0,0.0,10.0,7.0,0.0,2.0,1.0,24.0,57.0
112,27170109,원대동3가,0,8.0,6.0,2.0,9.0,62.0,26.0,3.0,9.0,7.0,81.0,213.0
113,27200101,이천동,1,57.0,27.0,3.0,14.0,116.0,67.0,1.0,19.0,18.0,121.0,443.0
