지도코드,지도_동,시,구,동,행정코드,총교통량,개인승용차교통량,버스교통량,화물차교통량,혼잡빈도강도,주유소_개수,LPG충전소_개수,인구밀도,혼잡시간강도,공시지가평균,공시지가중앙값,위도,경도,주유소_최솟값,주유소_최소3개평균,주유소_최소5개평균,lpg_최솟값,lpg_최소3개평균,lpg_최소5개평균,과학·기술,교육,보건의료,부동산,소매,수리·개인,숙박,시설관리·임대,예술·스포츠,음식,상업수,입지선정지수
27170103,평리동,대구광역시,서구,평리동,2203060,6963.8,5605.6,313.2,1045.2,60.174,14,1,14336.94,72.25,1065185.028,965050,35.8756068,128.5632042,1181.085167,1389.829288,1431.578112,983.3653115,1452.417805,1644.097998,129,64,31,97,557,358,40,88,105,830,2299,-8286.361491
27170101,내당동,대구광역시,서구,내당동,2203051,8089,6807,437.5,844,50.03,3,0,18708.02,64.72,1482649.468,1204000,35.8606231,128.5607411,360.2643334,828.5692924,930.6355433,754.2039627,816.7880469,1064.954899,95,47,16,71,444,256,17,50,61,531,1588,-8232.747676
27170102,비산동,대구광역시,서구,비산동,2203054,12772.2,10478.2,654.2,1640.2,39.438,5,0,10560.5,53.874,1089386.154,968500,35.8811924,128.5689458,393.1187212,680.6617208,816.6891468,924.4969064,1270.296966,1825.706194,111,25,13,68,663,366,44,61,92,884,2327,-8006.360889
27170109,원대동3가,대구광역시,서구,원대동,2203068,8416,7047,386,984,45.82,0,0,16000,65.58,1085488.372,893100,35.8857237,128.5756375,355.6377595,400.0860289,496.9445543,357.8958173,1206.490901,1882.333355,8,6,2,9,62,26,3,9,7,81,213,-7290.739562
27170108,원대동2가,대구광역시,서구,원대동,2203068,8416,7047,386,984,45.82,0,0,16000,65.58,1259762.5,1136500,35.8842321,128.580025,280.9240674,505.7503437,643.4066762,743.1342282,1464.792989,2007.346104,11,2,0,0,10,7,0,2,1,24,57,-7273.431562
27170107,원대동1가,대구광역시,서구,원대동,2203068,8416,7047,386,984,45.82,1,0,16000,65.58,991616.129,916900,35.8816154,128.5768,132.9707129,440.9892953,658.5891988,818.1157077,1556.218782,2038.443267,11,2,0,8,45,22,0,1,2,42,133,-7261.659562
27170105,중리동,대구광역시,서구,상중이동,2203066,21527,15375,391,5761,38.82,4,2,7520.930233,48.5,1132702.5,1141500,35.8629154,128.5390125,200.5840071,321.9807844,501.5291976,114.4848871,565.2876396,977.6412631,82,21,5,26,231,94,3,54,28,181,725,-5837.804727
27170106,이현동,대구광역시,서구,상중이동,2203066,21527,15375,391,5761,38.82,8,3,181.8627451,48.5,1126693.75,1255000,35.87589,128.539575,349.0011036,349.0011036,349.0011036,349.5955663,726.8428229,998.6767494,31,4,0,10,88,94,0,31,6,56,320,-5223.892848
27170104,상리동,대구광역시,서구,상중이동,2203066,21527,15375,391,5761,38.82,1,0,538.247012,48.5,322587.377,209700,35.8767,128.5261,1039.570887,1039.570887,1039.570887,1038.734436,1501.130471,1772.975324,6,0,0,0,20,19,0,7,0,9,61,-4927.870611
